relationships,age_last_milestone_year,milestones,Top500,age,relation10,age_first_milestone_year,Has_roundABCD,funding_rounds,has_roundB,milesto_4,million
6,7.0055,1,1,11.0,0,7.0055,0,1,0,1,0.0
8,5.0493,3,1,8.0,0,0.7342,1,4,1,1,0.0
1,0.0,1,1,2.42,0,0.0,0,2,0,1,0.0
6,2.1671,2,1,4.33,0,1.6137,0,1,0,1,0.0
16,2.8521,3,1,3.67,1,0.7945,0,2,1,1,1.0
5,11.3918,5,1,12.0,0,5.5836,1,2,1,0,0.0
11,4.1699,2,1,7.08,1,3.0877,1,4,1,1,0.0
10,10.0137,3,1,11.0,0,8.5781,0,6,1,1,0.0
28,7.6712,3,1,9.0,1,5.8603,0,4,0,1,0.0
1,0.0,0,0,9.39,0,0.0,0,1,0,0,0.0
4,0.0,0,0,5.0,0,0.0,0,2,0,0,0.0
6,4.263,2,1,6.25,0,0.6329,0,2,0,1,0.0
6,4.3671,3,1,5.0,0,2.5808,0,1,0,1,0.0
3,0.0,0,1,11.0,0,0.0,0,7,0,0,0.0
2,0.0,0,1,7.0,0,0.0,1,4,1,0,0.0
17,4.7918,2,1,6.91,1,4.2466,0,2,0,1,0.0
2,2.0027,1,1,10.09,0,2.0027,0,2,1,1,0.0
6,5.0027,1,1,11.0,0,5.0027,0,1,0,1,0.0
6,2.0027,1,1,11.0,0,2.0027,0,1,0,1,0.0
6,6.6082,2,1,9.0,0,3.0,1,3,1,1,0.0
2,0.0,0,1,11.0,0,0.0,1,4,1,0,0.0
3,0.0,0,1,6.0,0,0.0,0,1,0,0,0.0
13,6.0712,4,1,7.58,1,3.5425,1,3,1,0,0.0
8,9.4986,3,0,13.0,0,4.0877,0,2,0,1,0.0
3,0.0,0,0,2.33,0,0.0,0,1,0,0,0.0
6,0.0,0,1,13.0,0,0.0,0,1,0,0,0.0
10,4.0548,4,1,6.33,0,2.4027,1,3,1,0,1.0
0,0.0,0,0,1.96,0,0.0,0,1,0,0,0.0
8,1.0493,1,0,2.0,0,1.0493,0,1,0,1,0.0
4,5.0822,3,1,6.25,0,2.1699,0,2,0,1,0.0
18,4.9288,3,1,6.0,1,0.7616,1,3,1,1,0.0
3,6.7041,3,0,7.0,0,4.6685,0,3,0,1,1.0
7,8.1452,1,1,11.0,0,8.1452,0,2,1,1,0.0
4,1.6356,1,1,4.0,0,1.6356,1,2,1,1,0.0
3,0.0,0,1,6.78,0,0.0,0,2,0,0,0.0
12,5.8356,4,1,7.67,1,2.0822,1,4,1,0,0.0
26,7.6658,5,1,9.0,1,3.4822,1,4,1,0,0.0
2,1.0356,2,0,2.0,0,0.0,0,1,0,1,0.0
6,12.8932,2,1,13.5,0,7.5068,1,2,1,1,0.0
8,3.9178,3,1,5.2,0,0.0411,0,4,0,1,0.0
10,8.3425,3,1,9.64,0,5.6603,0,1,0,1,1.0
8,3.4959,2,1,9.0,0,3.0,0,2,1,1,0.0
10,7.7562,3,0,9.0,0,5.8548,0,2,0,1,0.0
8,5.9616,6,1,7.66,0,2.1616,0,3,0,0,0.0
13,7.0301,3,1,10.17,1,4.9781,1,5,1,1,0.0
12,4.137,3,1,5.58,1,3.1315,0,2,0,1,0.0
35,12.1863,3,1,13.17,1,10.4164,0,4,1,1,1.0
2,0.0,0,1,13.0,0,0.0,0,1,0,0,0.0
6,0.6904,2,1,0.42,0,0.0,0,2,0,1,0.0
8,10.7616,2,1,11.0,0,4.0027,1,3,1,1,0.0
5,6.0329,3,1,9.0,0,3.0,1,4,1,1,0.0
7,5.5151,2,1,6.0,0,2.4164,0,1,0,1,0.0
22,13.011,1,1,14.0,1,13.011,0,2,0,1,0.0
8,4.337,2,1,6.67,0,2.2329,1,2,1,1,1.0
0,0.0,0,1,5.17,0,0.0,0,1,0,0,0.0
6,5.0055,1,1,9.79,0,5.0055,0,1,1,1,0.0
7,2.7918,2,1,3.12,0,2.3315,0,2,0,1,0.0
5,4.1041,3,1,4.5,0,1.589,0,5,0,1,0.0
5,9.126,2,1,11.0,0,3.0027,0,2,1,1,0.0
13,9.2192,3,1,11.0,1,6.9781,0,2,0,1,0.0
13,11.0575,2,1,14.0,1,11.0329,0,2,0,1,0.0
8,5.5534,3,1,8.46,0,4.6301,1,2,1,1,0.0
7,9.0904,5,1,10.0,0,1.6685,0,3,1,0,0.0
4,5.0055,1,1,14.0,0,5.0055,0,2,0,1,0.0
3,1.863,3,1,4.08,0,0.0849,0,2,0,1,0.0
9,5.2438,2,1,8.0,0,3.3315,1,2,1,1,0.0
11,4.7781,2,1,7.0,1,2.0027,1,3,1,1,0.0
2,5.2301,3,1,5.58,0,3.4192,0,1,1,1,0.0
5,2.2822,2,1,2.75,0,1.9507,0,2,0,1,0.0
1,0.0,0,1,13.0,0,0.0,0,3,1,0,0.0
0,0.0,0,0,11.75,0,0.0,0,1,0,0,0.0
8,2.7288,3,1,3.0,0,2.4164,1,3,1,1,0.0
2,0.0,0,1,2.09,0,0.0,0,2,0,0,0.0
1,0.0,0,1,5.01,0,0.0,0,3,1,0,0.0
16,8.0055,2,1,9.0,1,7.5014,1,4,1,1,0.0
2,0.0,0,1,7.7,0,0.0,0,2,0,0,0.0
